id,timestamp,user,api,region,response_time,bytes,status,is_anomaly
1,2025-09-14T17:12:22.927878,attacker,PutObject,eu-west-1,4.791,200000,200,1
2,2025-09-15T12:20:36.927878,carol,Login,eu-west-1,0.247,1195,200,0
3,2025-09-14T16:59:48.927878,attacker,GetObject,eu-west-1,4.954,200000,200,1
4,2025-09-14T16:36:48.927878,attacker,ListBuckets,eu-west-1,4.669,200000,200,1
5,2025-09-15T02:06:20.927878,alice,DescribeInstances,us-east-1,0.238,2994,200,0
6,2025-09-14T16:42:45.927878,attacker,GetObject,eu-west-1,4.788,200000,200,1
7,2025-09-15T07:13:20.927878,alice,AssumeRole,eu-west-1,0.269,3107,200,0
8,2025-09-14T17:05:43.927878,attacker,ListBuckets,eu-west-1,4.239,200000,200,1
9,2025-09-15T00:03:22.927878,carol,GetObject,ap-south-1,0.177,1888,200,0
10,2025-09-15T12:46:23.927878,bob,Login,us-east-1,0.314,3029,200,0
11,2025-09-14T23:22:13.927878,svc_backup,GetObject,eu-west-1,0.481,3047,500,0
12,2025-09-15T14:05:56.927878,carol,PutObject,us-east-1,0.657,2668,200,0
13,2025-09-14T17:20:46.927878,attacker,ListBuckets,eu-west-1,4.449,200000,200,1
14,2025-09-15T15:45:55.927878,carol,DeleteVM,ap-south-1,0.31,2362,200,0
15,2025-09-15T14:15:14.927878,bob,Login,eu-west-1,0.05,3557,200,0
16,2025-09-14T19:09:52.927878,alice,ListBuckets,ap-south-1,0.317,1678,200,0
17,2025-09-14T16:53:02.927878,attacker,ListBuckets,eu-west-1,4.031,200000,200,1
18,2025-09-14T17:05:45.927878,attacker,DeleteObject,eu-west-1,4.815,200000,200,1
19,2025-09-14T23:51:56.927878,alice,DeleteVM,ap-south-1,0.322,1644,200,0
20,2025-09-15T09:45:04.927878,alice,GetObject,eu-west-1,0.329,1770,200,0
21,2025-09-15T06:54:35.927878,alice,ListBuckets,ap-south-1,0.329,0,200,0
22,2025-09-15T15:19:37.927878,bob,DescribeInstances,us-east-1,0.245,1594,200,0
23,2025-09-14T16:36:40.927878,attacker,PutObject,eu-west-1,4.716,200000,200,1
24,2025-09-15T00:31:51.927878,alice,ListBuckets,ap-south-1,0.173,3326,200,0
25,2025-09-15T01:22:18.927878,bob,Login,eu-west-1,0.201,1275,200,0
26,2025-09-14T22:24:11.927878,alice,PutObject,us-east-1,0.153,2300,403,0
27,2025-09-15T10:54:22.927878,alice,GetObject,eu-west-1,0.204,464,200,0
